#,Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
MCC1314-3195,Manchester City Council,Chief Executives,ICT Sup & Maintnance,2013-04-25,5100634358,2772.10,Jadu Ltd
MCC1314-3196,Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-04-25,5100634362,640.00,Peter Douglass Platforms
MCC1314-3197,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-04-25,5100634367,15746.25,4CT Limited
MCC1314-3198,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-04-25,5100634368,12100.63,Aquarius Community Centre
MCC1314-3199,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-04-25,5100634371,10222.00,Barlow Moor Community Association
MCC1314-3200,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-04-25,5100634374,5137.13,"Birch Community Association,"
MCC1314-3201,Manchester City Council,Childrens Services,Payments for services,2013-04-25,5100634444,3827.25,Edstart
MCC1314-3202,Manchester City Council,Manchester Leisure,Proffesional fees,2013-04-26,1903594362,1740.00,MYJ Services Ltd
MCC1314-3203,Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2013-04-26,1903595380,4000.00,Macclesfield Museums Trust
MCC1314-3204,Manchester City Council,Manchester Leisure,Payments for services,2013-04-26,1903595409,1820.00,Higher Openshaw United Baptist
MCC1314-3205,Manchester City Council,General Fund,Levies,2013-04-26,1903601823,70262.00,Manchester Port Health Authority
MCC1314-3206,Manchester City Council,Hospitality + Trading Services,Equipment,2013-04-26,1903610874,3000.00,Redacted Personal Information
MCC1314-3207,Manchester City Council,Insurance Fund,Insurance,2013-04-26,1903610948,3856.30,Cb Richard Ellis Ltd
MCC1314-3208,Manchester City Council,Insurance Fund,Insurance,2013-04-26,1903610951,5338.40,Cb Richard Ellis Ltd
MCC1314-3209,Manchester City Council,Chief Executives,Mobilephone Charges,2013-04-26,1903612426,56264.10,T-Mobile
MCC1314-3210,Manchester City Council,Insurance Fund,Insurance,2013-04-26,1903619653,9725.00,Simpsons Solicitors
MCC1314-3211,Manchester City Council,Housing General Fund,Surplus property Acquisitions,2013-04-26,1903619693,4226.16,Redacted Personal Information
MCC1314-3212,Manchester City Council,Corporate Services,Fees,2013-04-26,1903619702,25822.30,Marston Group Limited
MCC1314-3213,Manchester City Council,Corporate Services,Fees,2013-04-26,1903619702,-25822.30,Marston Group Limited
MCC1314-3214,Manchester City Council,Insurance Fund,Insurance,2013-04-26,1903619703,3750.00,Redacted Personal Information
MCC1314-3215,Manchester City Council,Insurance Fund,Insurance,2013-04-26,1903620606,32850.00,Hayward Baker Solicitors
MCC1314-3216,Manchester City Council,Housing General Fund,Surplus property Acquisitions,2013-04-26,1903620612,6025.51,Redacted Personal Information
MCC1314-3217,Manchester City Council,Childrens Services,Signers/Interpreters,2013-04-26,1903620615,1296.00,The Language Machine Ltd
MCC1314-3218,Manchester City Council,Housing General Fund,Surplus property Acquisitions,2013-04-26,1903620620,5958.56,Redacted Personal Information
MCC1314-3219,Manchester City Council,Housing General Fund,Surplus property Acquisitions,2013-04-26,1903620624,5192.06,Redacted Personal Information
MCC1314-3220,Manchester City Council,Corporate Services,Fees,2013-04-26,1903620625,30266.76,Rossendales Ltd
MCC1314-3221,Manchester City Council,Corporate Services,Fees,2013-04-26,1903620625,-30266.76,Rossendales Ltd
MCC1314-3222,Manchester City Council,Corporate Services,Fees,2013-04-26,1903620626,4840.13,Rossendales Ltd
MCC1314-3223,Manchester City Council,Corporate Services,Fees,2013-04-26,1903620626,-4840.13,Rossendales Ltd
MCC1314-3224,Manchester City Council,Insurance Fund,Insurance,2013-04-26,1903621373,2000.00,The Account General
MCC1314-3225,Manchester City Council,Corporate Services,Compensation Payments,2013-04-26,1903621387,550.00,O'Neills Body Repairs
MCC1314-3226,Manchester City Council,Chief Executives,Data Links,2013-04-26,1903621422,31835.02,BT PLC
MCC1314-3227,Manchester City Council,Chief Executives,Data Links,2013-04-26,1903621423,59966.70,BT PLC
MCC1314-3228,Manchester City Council,Adult Social Care,Day Care Payments,2013-04-26,1903623019,600.00,Redacted Personal Information
MCC1314-3229,Manchester City Council,Chief Executives,Postage,2013-04-26,1903623072,1192.14,Royal Mail Group Plc
MCC1314-3230,Manchester City Council,Manchester Leisure,Library Materials Acquisition,2013-04-26,1903623236,1500.00,Emap Ltd
MCC1314-3231,Manchester City Council,Housing General Fund,Capital Govt Grants,2013-04-26,1903627643,15938.00,First Choice Homes Oldham Ltd
MCC1314-3232,Manchester City Council,Adult Social Care,Internal Repairs and Maintenance for buildings,2013-04-26,1903628733,500.00,Homemove NW
MCC1314-3233,Manchester City Council,Chief Executives,Equipment,2013-04-26,1903628760,1150.00,Redacted Personal Information
MCC1314-3234,Manchester City Council,Chief Executives,Mobilephone Charges,2013-04-26,1903629256,52080.32,T-Mobile
MCC1314-3235,Manchester City Council,Chief Executives,Landline Telephone,2013-04-26,1903629258,3470.12,BT PLC
MCC1314-3236,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-04-26,1903629899,563.31,F.R.Sharrock Ltd
MCC1314-3237,Manchester City Council,Childrens Services,Foster Payments,2013-04-26,1903630269,681.44,Redacted Personal Information
MCC1314-3238,Manchester City Council,Regeneration Finance,Proffesional Fees,2013-04-26,5100628019,9203.26,Urban Strategies Inc
MCC1314-3239,Manchester City Council,Regeneration Finance,Proffesional Fees,2013-04-26,5100628220,3404.82,Urban Strategies Inc
MCC1314-3240,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-26,5100629488,4500.00,Burnage Multi-Agency Group
MCC1314-3241,Manchester City Council,Childrens Services,Catering,2013-04-26,5100630254,808.95,Pdt Catering
MCC1314-3242,Manchester City Council,Manchester Leisure,Payments for services,2013-04-26,5100630717,1666.00,Chorlton Runners
MCC1314-3243,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-26,5100631219,1114.50,Cheetwood Centre
MCC1314-3244,Manchester City Council,Regeneration Finance,Proffesional Fees,2013-04-26,5100631559,750.00,Nicola Cowburn t/a Anotherway
MCC1314-3245,Manchester City Council,Childrens Services,Transport Coach Hire,2013-04-26,5100631742,6104.70,Essex County Council
MCC1314-3246,Manchester City Council,Childrens Services,Agency staff provision,2013-04-26,5100632076,507.30,SRA Cover Staff Ltd
MCC1314-3247,Manchester City Council,Chief Executives,Agency staff provision,2013-04-26,5100632151,1197.80,Northern Employment Services Ltd
MCC1314-3248,Manchester City Council,Chief Executives,Agency staff provision,2013-04-26,5100632153,687.36,Northern Employment Services Ltd
MCC1314-3249,Manchester City Council,Chief Executives,Licences Purchase,2013-04-26,5100632297,735874.56,Software Box Ltd
MCC1314-3250,Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,2013-04-26,5100632415,552.00,Arco Group Ltd
MCC1314-3251,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-26,5100632916,841.80,Capita  Resourcing Ltd
MCC1314-3252,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-26,5100632916,779.24,Capita  Resourcing Ltd
MCC1314-3253,Manchester City Council,Childrens Services,Agency staff provision,2013-04-26,5100632916,1964.45,Capita  Resourcing Ltd
MCC1314-3254,Manchester City Council,Childrens Services,Agency staff provision,2013-04-26,5100632916,945.00,Capita  Resourcing Ltd
MCC1314-3255,Manchester City Council,Childrens Services,Agency staff provision,2013-04-26,5100632916,895.30,Capita  Resourcing Ltd
MCC1314-3256,Manchester City Council,Childrens Services,Agency staff provision,2013-04-26,5100632916,861.54,Capita  Resourcing Ltd
MCC1314-3257,Manchester City Council,Childrens Services,Agency staff provision,2013-04-26,5100632916,845.50,Capita  Resourcing Ltd
MCC1314-3258,Manchester City Council,Childrens Services,Agency staff provision,2013-04-26,5100632916,840.10,Capita  Resourcing Ltd
MCC1314-3259,Manchester City Council,Childrens Services,Agency staff provision,2013-04-26,5100632916,537.18,Capita  Resourcing Ltd
MCC1314-3260,Manchester City Council,Chief Executives,Agency staff provision,2013-04-26,5100632916,2014.04,Capita  Resourcing Ltd
MCC1314-3261,Manchester City Council,Chief Executives,Postage,2013-04-26,5100633315,2783.50,Royal Mail Group Plc
MCC1314-3262,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-26,5100633579,2500.00,Chorlton Youth Project
MCC1314-3263,Manchester City Council,Hospitality + Trading Services,Equipment,2013-04-26,5100633587,663.21,Proton (Southern) Ltd
MCC1314-3264,Manchester City Council,Childrens Services,Payments for services,2013-04-26,5100633754,11038.00,One Education Ltd
MCC1314-3265,Manchester City Council,Chief Executives,General Office expenses,2013-04-26,5100634052,8642.80,Icom Works Limited
MCC1314-3266,Manchester City Council,Hospitality + Trading Services,Fees,2013-04-26,5100634080,2921.27,NPS North West Ltd
MCC1314-3267,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-04-26,5100634081,3931.00,Turner & Townsend Cost
MCC1314-3268,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-04-26,5100634082,-975.00,Turner & Townsend Cost
MCC1314-3269,Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,2013-04-26,5100634108,1077.56,Amtoll Ltd
MCC1314-3270,Manchester City Council,Childrens Services,Supporting People Payments,2013-04-26,5100634293,1222.22,N-Gage Project
MCC1314-3271,Manchester City Council,Childrens Services,Supporting People Payments,2013-04-26,5100634312,2250.00,N-Gage Project
MCC1314-3272,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-04-26,5100634376,9682.88,Harpurhey Neighbourhood Project
MCC1314-3273,Manchester City Council,Regeneration Finance,Consultants Fees,2013-04-26,5100634377,2500.00,Deloitte & Touche Llp
MCC1314-3274,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-04-26,5100634378,1211.25,New Moston & District CA
MCC1314-3275,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-04-26,5100634380,5137.13,Northmoor Community Association
MCC1314-3276,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-04-26,5100634385,2567.38,Royal Oak & Baguley Residents Assoc
MCC1314-3277,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-04-26,5100634387,5906.63,Slade Lane Neighbourhood Centre
MCC1314-3278,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-04-26,5100634390,1938.00,Tree Of Life Centre Wythenshawe
MCC1314-3279,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-04-26,5100634392,7535.88,Turkey Lane & Monsall Neighbourhood
MCC1314-3280,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-04-26,5100634394,4446.00,Whalley Range Forum
MCC1314-3281,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-04-26,5100634396,4845.00,Whitemoss Club For Young People
MCC1314-3282,Manchester City Council,Chief Executives,Grant and subscriptions awarded,2013-04-26,5100634398,1938.00,Wythenshawe Oasis
MCC1314-3283,Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2013-04-26,5100634402,416925.00,Cornerhouse
MCC1314-3284,Manchester City Council,Chief Executives,I T Provision,2013-04-26,5100634403,1800.00,Meridian Law Ltd
MCC1314-3285,Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-04-26,5100634404,1507.56,BT PLC
MCC1314-3286,Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2013-04-26,5100634405,93605.75,Halle Concerts Society
MCC1314-3287,Manchester City Council,Manchester Leisure,Variation Orders,2013-04-26,5100634406,1995.00,Hydrosave (UK) Ltd
MCC1314-3288,Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2013-04-26,5100634411,8922.00,Community Arts North West
MCC1314-3289,Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2013-04-26,5100634413,7879.62,Computacenter (UK) Ltd
MCC1314-3290,Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2013-04-26,5100634415,3687.50,Venture Arts Ltd
MCC1314-3291,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-26,5100634421,11302.82,Lancaster Maloney Ltd
MCC1314-3292,Manchester City Council,Chief Executives,Payments to Sub-Contractors,2013-04-26,5100634424,2138.25,The Recruitment Business Ltd
MCC1314-3293,Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2013-04-26,5100634425,920.00,Clearview Event Services Limited
MCC1314-3294,Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-04-26,5100634428,8625.96,Mace Ltd
MCC1314-3295,Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2013-04-26,5100634429,2205.00,Gullivers Truck Hire Ltd
MCC1314-3296,Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-04-26,5100634430,8625.96,Mace Ltd
MCC1314-3297,Manchester City Council,Hospitality + Trading Services,Equipment,2013-04-26,5100634432,5383.35,W.V.Howe Ltd
MCC1314-3298,Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-04-26,5100634433,19074.72,Mace Ltd
MCC1314-3299,Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-04-26,5100634433,1907.47,Mace Ltd
MCC1314-3300,Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-04-26,5100634433,1907.47,Mace Ltd
MCC1314-3301,Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-04-26,5100634434,19392.63,Mace Ltd
MCC1314-3302,Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-04-26,5100634434,5404.50,Mace Ltd
MCC1314-3303,Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-04-26,5100634434,635.32,Mace Ltd
MCC1314-3304,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-26,5100634438,-2388.88,The Big Life Company
MCC1314-3305,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-26,5100634442,2388.88,The Big Life Company
MCC1314-3306,Manchester City Council,Hospitality + Trading Services,Equipment,2013-04-26,5100634446,2240.00,Hobart U.K.
MCC1314-3307,Manchester City Council,Chief Executives,Advertising,2013-04-26,5100634448,559.00,All About Audiences Services Ltd
MCC1314-3308,Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2013-04-26,5100634453,86884.20,Cruden Group Ltd
MCC1314-3309,Manchester City Council,Childrens Services,Payments for services,2013-04-26,5100634454,4305.00,Caritas Diocese of Salford
MCC1314-3310,Manchester City Council,Childrens Services,Payments for services,2013-04-26,5100634455,4305.00,Caritas Diocese of Salford
MCC1314-3311,Manchester City Council,Manchester Leisure,Equipment,2013-04-26,5100634456,748.95,Morplan Ltd
